Date,SPY,TLT
01/11/1994,30.518265,
03/10/1994,31.783741,
01/09/1994,30.905216,
01/08/1994,31.705969,
01/07/1994,30.541683,
01/06/1994,29.585304,
02/05/1994,30.279156,
04/04/1994,29.804073,
01/03/1994,29.473606,
01/02/1994,30.762638,
03/01/1994,31.686716,
01/12/1993,30.618855,
01/11/1993,30.247509,
01/10/1993,30.573847,
01/09/1993,29.982391,
02/08/1993,30.202133,
01/07/1993,29.087255,
01/06/1993,29.229177,
03/05/1993,29.124088,
01/04/1993,28.359253,
01/03/1993,29.103992,
01/02/1993,28.466335,
29/01/1993,28.165876,
