Date,RAV Index,RAG Index,,,Date,RAV Index,RAG Index,,
27/05/2021,2094.395,2063.048,,,27/05/2021,26.9713,43.9679,,
26/05/2021,2080.533,2068.769,,,26/05/2021,26.7937,44.0898,,
25/05/2021,2071.652,2062.096,,,25/05/2021,26.8349,43.9476,,
24/05/2021,2084.624,2060.116,,,24/05/2021,27.1656,43.9032,,
21/05/2021,2073.058,2032.315,,,21/05/2021,27.0023,43.3108,,
20/05/2021,2065.948,2041.597,,,20/05/2021,26.8088,43.5084,,
19/05/2021,2054.952,2008.346,,,19/05/2021,26.6659,42.7996,,
18/05/2021,2067.936,2008.997,,,18/05/2021,26.8348,42.8135,,
17/05/2021,2087.849,2020.561,,,17/05/2021,27.0934,43.06,,
14/05/2021,2088.776,2030.151,,,14/05/2021,27.2361,43.2425,,
13/05/2021,2061.105,1991.141,,,13/05/2021,26.8489,42.3802,,
12/05/2021,2031.634,1973.783,,,12/05/2021,26.4582,42.0116,,
11/05/2021,2073.996,2025.91,,,11/05/2021,27.0019,43.1116,,
10/05/2021,2099.482,2030.878,,,10/05/2021,27.3055,43.1639,,
07/05/2021,2105.84,2075.378,,,07/05/2021,27.4134,44.1613,,
06/05/2021,2088.126,2059.034,,,06/05/2021,27.0853,43.8203,,
05/05/2021,2071.775,2050.676,,,05/05/2021,26.8714,43.6433,,
04/05/2021,2064.995,2059.167,,,04/05/2021,26.7839,43.8187,,
03/05/2021,2064.827,2092.499,,,03/05/2021,26.8093,44.528,,
30/04/2021,2049.247,2099.281,,,30/04/2021,27.2248,45.2923,,
29/04/2021,2066.584,2114.619,,,29/04/2021,27.1712,45.9154,,
28/04/2021,2050.372,2111.152,,,28/04/2021,26.9043,45.8434,,
27/04/2021,2047.927,2117.612,,,27/04/2021,26.9739,46.2529,,
26/04/2021,2043.445,2122.99,,,26/04/2021,26.911,46.3704,,
23/04/2021,2041.472,2111.008,,,23/04/2021,26.9021,46.1114,,
22/04/2021,2020.723,2083.241,,,22/04/2021,26.6118,45.5055,,
21/04/2021,2035.8,2100.809,,,21/04/2021,26.813,45.8991,,
20/04/2021,2011.557,2082.068,,,20/04/2021,26.4937,45.4932,,
19/04/2021,2031.97,2095.294,,,19/04/2021,26.7518,45.7822,,
16/04/2021,2040.416,2113.562,,,16/04/2021,26.8703,46.1809,,
15/04/2021,2030.155,2111.258,,,15/04/2021,26.914,46.1312,,
14/04/2021,2018.978,2077.423,,,14/04/2021,26.8087,45.3919,,
13/04/2021,2011.695,2098.407,,,13/04/2021,26.7118,45.8505,,
12/04/2021,2017.633,2077.036,,,12/04/2021,26.81,45.3863,,
09/04/2021,2016.661,2078.239,,,09/04/2021,26.7965,45.4128,,
08/04/2021,2006.685,2060.943,,,08/04/2021,26.666,45.0352,,
07/04/2021,2006.862,2039.242,,,07/04/2021,26.6684,44.561,,
06/04/2021,2011.497,2036.665,,,06/04/2021,26.7304,44.5236,,
05/04/2021,2011.431,2037.102,,,05/04/2021,26.7306,44.5327,,
